spese,homepage,id,lingua,title,popolarità,data uscita,incassi,durata
237000000,http://www.avatarmovie.com/,19995,en,Avatar,150.437577,2009-12-10,2787965087,162.0
300000000,http://disney.go.com/disneypictures/pirates/,285,en,Pirates of the Caribbean: At World's End,139.082615,2007-05-19,961000000,169.0
245000000,http://www.sonypictures.com/movies/spectre/,206647,en,Spectre,107.37678799999999,2015-10-26,880674609,148.0
250000000,http://www.thedarkknightrises.com/,49026,en,The Dark Knight Rises,112.31295,2012-07-16,1084939099,165.0
260000000,http://movies.disney.com/john-carter,49529,en,John Carter,43.926995,2012-03-07,284139100,132.0
258000000,http://www.sonypictures.com/movies/spider-man3/,559,en,Spider-Man 3,115.69981399999999,2007-05-01,890871626,139.0
260000000,http://disney.go.com/disneypictures/tangled/,38757,en,Tangled,48.681969,2010-11-24,591794936,100.0
280000000,http://marvel.com/movies/movie/193/avengers_age_of_ultron,99861,en,Avengers: Age of Ultron,134.27922900000002,2015-04-22,1405403694,141.0
250000000,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,767,en,Harry Potter and the Half-Blood Prince,98.885637,2009-07-07,933959197,153.0
250000000,http://www.batmanvsupermandawnofjustice.com/,209112,en,Batman v Superman: Dawn of Justice,155.790452,2016-03-23,873260194,151.0
270000000,http://www.superman.com,1452,en,Superman Returns,57.925623,2006-06-28,391081192,154.0
200000000,http://www.mgm.com/view/movie/234/Quantum-of-Solace/,10764,en,Quantum of Solace,107.92881100000001,2008-10-30,586090727,106.0
200000000,http://disney.go.com/disneypictures/pirates/,58,en,Pirates of the Caribbean: Dead Man's Chest,145.84737900000002,2006-06-20,1065659812,151.0
255000000,http://disney.go.com/the-lone-ranger/,57201,en,The Lone Ranger,49.046956,2013-07-03,89289910,149.0
225000000,http://www.manofsteel.com/,49521,en,Man of Steel,99.398009,2013-06-12,662845518,143.0
225000000,,2454,en,The Chronicles of Narnia: Prince Caspian,53.978602,2008-05-15,419651413,150.0
220000000,http://marvel.com/avengers_movie/,24428,en,The Avengers,144.448633,2012-04-25,1519557910,143.0
380000000,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,1865,en,Pirates of the Caribbean: On Stranger Tides,135.413856,2011-05-14,1045713802,136.0
225000000,http://www.sonypictures.com/movies/meninblack3/,41154,en,Men in Black 3,52.035179,2012-05-23,624026776,106.0
250000000,http://www.thehobbit.com/,122917,en,The Hobbit: The Battle of the Five Armies,120.96574299999999,2014-12-10,956019788,144.0
215000000,http://www.theamazingspiderman.com,1930,en,The Amazing Spider-Man,89.866276,2012-06-27,752215857,136.0
200000000,http://www.robinhoodthemovie.com/,20662,en,Robin Hood,37.668301,2010-05-12,310669540,140.0
250000000,http://www.thehobbit.com/,57158,en,The Hobbit: The Desolation of Smaug,94.370564,2013-12-11,958400000,161.0
180000000,http://www.goldencompassmovie.com/index_german.html,2268,en,The Golden Compass,42.990906,2007-12-04,372234864,113.0
207000000,,254,en,King Kong,61.226009999999995,2005-12-14,550000000,187.0
200000000,http://www.titanicmovie.com,597,en,Titanic,100.025899,1997-11-18,1845034188,194.0
250000000,http://marvel.com/captainamericapremiere,271110,en,Captain America: Civil War,198.37239499999998,2016-04-27,1153304495,147.0
209000000,,44833,en,Battleship,64.928382,2012-04-11,303025485,131.0
150000000,http://www.jurassicworld.com/,135397,en,Jurassic World,418.708552,2015-06-09,1513528810,124.0
200000000,http://www.skyfall-movie.com,37724,en,Skyfall,93.004993,2012-10-25,1108561013,143.0
200000000,http://www.sonypictures.com/movies/spider-man2/,558,en,Spider-Man 2,35.149586,2004-06-25,783766341,127.0
200000000,http://marvel.com/ironman3,68721,en,Iron Man 3,77.68208,2013-04-18,1215439994,130.0
200000000,http://disney.go.com/wonderland/,12155,en,Alice in Wonderland,78.530105,2010-03-03,1025491110,108.0
210000000,,36668,en,X-Men: The Last Stand,3.857526,2006-05-24,459359555,104.0
200000000,,62211,en,Monsters University,89.186492,2013-06-20,743559607,104.0
150000000,http://www.transformersmovie.com/,8373,en,Transformers: Revenge of the Fallen,21.939663,2009-06-19,836297228,150.0
210000000,http://www.transformersmovie.com,91314,en,Transformers: Age of Extinction,116.840296,2014-06-25,1091405097,165.0
200000000,http://www.ozthegreatandpowerfulmovie.com,68728,en,Oz: The Great and Powerful,46.985445,2013-03-07,491868548,130.0
200000000,http://www.theamazingspiderman.com,102382,en,The Amazing Spider-Man 2,89.270217,2014-04-16,705717432,142.0
170000000,http://disney.go.com/tron/,20526,en,TRON: Legacy,73.79505,2010-12-10,400062763,125.0
200000000,http://www.disney.go.com/cars/,49013,en,Cars 2,49.98659,2011-06-11,559852396,106.0
200000000,http://greenlanternmovie.warnerbros.com/,44912,en,Green Lantern,51.872839,2011-06-16,219851172,114.0
200000000,http://disney.go.com/toystory/,10193,en,Toy Story 3,59.99541800000001,2010-06-16,1066969703,103.0
200000000,https://www.warnerbros.com/terminator-salvation,534,en,Terminator Salvation,71.862892,2009-05-20,371353001,115.0
190000000,http://www.furious7.com/,168259,en,Furious 7,102.32221700000001,2015-04-01,1506249360,137.0
200000000,http://www.worldwarzmovie.com,72190,en,World War Z,81.834855,2013-06-20,531865000,116.0
250000000,http://www.x-menmovies.com/,127585,en,X-Men: Days of Future Past,118.07869099999999,2014-05-15,747862775,131.0
190000000,,54138,en,Star Trek Into Darkness,78.29101800000001,2013-05-05,467365246,132.0
195000000,http://jackthegiantkiller.warnerbros.com,81005,en,Jack the Giant Slayer,43.349855,2013-02-27,197687603,114.0
105000000,,64682,en,The Great Gatsby,61.196070999999996,2013-05-10,351040419,143.0
150000000,http://disney.go.com/disneypictures/princeofpersia,9543,en,Prince of Persia: The Sands of Time,62.169881000000004,2010-05-19,335154643,116.0
180000000,http://www.pacificrimmovie.com/,68726,en,Pacific Rim,56.523205000000004,2013-07-11,407602906,131.0
195000000,http://www.transformersmovie.com/,38356,en,Transformers: Dark of the Moon,28.529607000000002,2011-06-28,1123746996,154.0
185000000,http://www.indianajones.com/site/index.html,217,en,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,2008-05-21,786636033,122.0
175000000,http://movies.disney.com/the-good-dinosaur,105864,en,The Good Dinosaur,51.692953,2015-11-14,331926147,93.0
185000000,http://disney.go.com/brave/#/home,62177,en,Brave,125.114374,2012-06-21,538983207,93.0
185000000,http://www.startrekmovie.com/,188927,en,Star Trek Beyond,65.352913,2016-07-07,343471816,122.0
180000000,http://disney.go.com/disneypictures/wall-e/,10681,en,WALL·E,66.390712,2008-06-22,521311860,98.0
140000000,,5174,en,Rush Hour 3,22.57178,2007-08-08,258022233,91.0
200000000,http://www.sonypictures.com/movies/2012,14161,en,2012,45.274225,2009-10-10,769653595,158.0
200000000,http://disney.go.com/disneypictures/achristmascarol/?cmp=dcom_VAN_WDSHE_ACC_van_dcomcc__Extl,17979,en,A Christmas Carol,39.744242,2009-11-04,325233863,96.0
176000003,http://www.jupiterascending.com,76757,en,Jupiter Ascending,85.36908000000001,2015-02-04,183987723,124.0
180000000,http://legendoftarzan.com,258489,en,The Legend of Tarzan,42.741719,2016-06-29,356743061,109.0
180000000,,411,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,2005-12-07,748806957,143.0
178000000,http://www.foxmovies.com/movies/x-men-apocalypse,246655,en,X-Men: Apocalypse,139.272042,2016-05-18,543934787,144.0
185000000,http://thedarkknight.warnerbros.com/dvdsite/,155,en,The Dark Knight,187.322927,2008-07-16,1004558444,152.0
175000000,http://disney.go.com/disneypictures/up/,14160,en,Up,92.201962,2009-05-13,735099082,96.0
175000000,http://www.monstersvsaliens.com/,15512,en,Monsters vs Aliens,36.167578000000006,2009-03-19,381509870,94.0
140000000,http://www.ironmanmovie.com/,1726,en,Iron Man,120.725053,2008-04-30,585174222,126.0
170000000,http://www.hugomovie.com/,44826,en,Hugo,32.319043,2011-11-22,185770160,126.0
170000000,,8487,en,Wild Wild West,40.748915000000004,1999-06-29,222104681,106.0
145000000,http://www.themummy.com/,1735,en,The Mummy: Tomb of the Dragon Emperor,60.034162,2008-07-01,401128639,112.0
