id,name,id_movie
289,Ingenious Film Partners,19995
306,Twentieth Century Fox Film Corporation,19995
444,Dune Entertainment,19995
574,Lightstorm Entertainment,19995
2,Walt Disney Pictures,285
130,Jerry Bruckheimer Films,285
19936,Second Mate Productions,285
5,Columbia Pictures,206647
10761,Danjaq,206647
69434,B24,206647
923,Legendary Pictures,49026
6194,Warner Bros.,49026
9993,DC Entertainment,49026
9996,Syncopy,49026
2,Walt Disney Pictures,49529
5,Columbia Pictures,559
326,Laura Ziskin Productions,559
19551,Marvel Enterprises,559
2,Walt Disney Pictures,38757
6125,Walt Disney Animation Studios,38757
420,Marvel Studios,99861
15357,Prime Focus,99861
76043,Revolution Sun Studios,99861
6194,Warner Bros.,767
7364,Heyday Films,767
429,DC Comics,209112
507,Atlas Entertainment,209112
6194,Warner Bros.,209112
9993,DC Entertainment,209112
9995,Cruel & Unusual Films,209112
41624,RatPac-Dune Entertainment,209112
429,DC Comics,1452
923,Legendary Pictures,1452
6194,Warner Bros.,1452
9168,Bad Hat Harry Productions,1452
7576,Eon Productions,10764
2,Walt Disney Pictures,58
130,Jerry Bruckheimer Films,58
19936,Second Mate Productions,58
2,Walt Disney Pictures,57201
130,Jerry Bruckheimer Films,57201
2691,Infinitum Nihil,57201
37380,Silver Bullet Productions (II),57201
37381,Blind Wink Productions,57201
37382,Classic Media,57201
923,Legendary Pictures,49521
6194,Warner Bros.,49521
9993,DC Entertainment,49521
9996,Syncopy,49521
78685,Cruel and Unusual Films,49521
5888,Walt Disney,2454
10221,Walden Media,2454
11345,Stillking Films,2454
11440,Ozumi Films,2454
11441,Propeler,2454
11442,Silverbell Films,2454
76043,Revolution Sun Studios,2454
4,Paramount Pictures,24428
420,Marvel Studios,24428
2,Walt Disney Pictures,1865
130,Jerry Bruckheimer Films,1865
20478,Moving Picture Company (MPC),1865
56,Amblin Entertainment,41154
5627,Media Magik Entertainment,41154
6736,Imagenation Abu Dhabi FZ,41154
9169,Hemisphere Media Capital,41154
11084,Parkes/MacDonald Productions,41154
11,WingNut Films,122917
12,New Line Cinema,122917
174,Warner Bros. Pictures,122917
7413,3Foot7,122917
8411,Metro-Goldwyn-Mayer (MGM),122917
5,Columbia Pictures,1930
326,Laura Ziskin Productions,1930
7505,Marvel Entertainment,1930
23,Imagine Entertainment,20662
33,Universal Pictures,20662
1645,Scott Free Productions,20662
7295,Relativity Media,20662
11,WingNut Films,57158
12,New Line Cinema,57158
174,Warner Bros. Pictures,57158
8411,Metro-Goldwyn-Mayer (MGM),57158
12,New Line Cinema,2268
289,Ingenious Film Partners,2268
1473,Depth of Field,2268
1938,Scholastic Productions,2268
11,WingNut Films,254
33,Universal Pictures,254
68,Big Primate Pictures,254
69,MFPV Film,254
